bugAlgo,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,r
t82,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t83,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t84,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t85,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t86,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t87,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t88,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t89,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t90,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t91,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t92,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t93,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t94,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t95,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t96,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t97,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t98,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t99,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t100,1,1,1,1,1,1,1,1,1,1,1,1,1,0
